Symptom,Advice
fever,"Stay hydrated and rest. Take paracetamol if fever is above 100°F."
headache,"Avoid screen time, stay in a dark room, and hydrate."
nausea,"Drink ginger tea, avoid spicy food, and rest."
cough,"Drink warm fluids and consider steam inhalation."
sore throat,"Gargle with warm salt water and drink soothing herbal teas."
back pain,"Practice gentle stretching, apply heat, and maintain good posture."
dizziness,"Sit down immediately, drink water, and avoid sudden movements."
stomach pain,"Avoid heavy meals, eat bland foods, and use a heating pad."
fatigue,"Get adequate rest, eat balanced meals, and stay hydrated."
cold,"Use saline nasal spray, rest, and consume vitamin C-rich foods."
constipation,"Increase fiber intake, drink plenty of water, and exercise."
diarrhea,"Stay hydrated with oral rehydration solutions and avoid dairy."
acidity,"Avoid spicy food, eat small frequent meals, and consider antacids."
insomnia,"Maintain a sleep schedule, avoid caffeine late, and create a sleep-conducive environment."
allergies,"Avoid triggers, use antihistamines, and keep windows closed."
sinusitis,"Steam inhalation, hydration, and nasal sprays may help."
ear pain,"Use warm compresses and avoid inserting objects into the ear."
eyestrain,"Follow the 20-20-20 rule: every 20 minutes, look 20 feet away for 20 seconds."
indigestion,"Chew food slowly, avoid overeating, and drink herbal teas."
skin rash,"Keep the area clean, apply aloe vera gel, and avoid irritants."
bleeding gums,"Brush gently with a soft toothbrush and rinse with warm salt water."
bloating,"Avoid carbonated drinks, eat slowly, and try peppermint tea."
hiccups,"Drink water slowly and hold your breath for a few seconds."
joint pain,"Apply hot or cold compresses and engage in low-impact exercises."
palpitations,"Practice deep breathing, avoid caffeine, and sit down if feeling dizzy."
leg cramps,"Massage the area, stretch gently, and stay hydrated."
heartburn,"Avoid lying down after meals and limit acidic foods."
burns,"Rinse under cool water and apply aloe vera gel."
anxiety,"Practice mindfulness, deep breathing, and engage in physical activity."
muscle strain,"Rest, apply ice, and gently stretch when possible."
sunburn,"Apply aloe vera gel and stay out of the sun."
flu,"Rest,stay hydrated, and take over-the-counter medications as needed."
bronchitis,"Stay hydrated, use a humidifier, and rest."
high blood pressure,"Reduce salt intake, exercise regularly, and manage stress."
low blood pressure,"Drink plenty of fluids and eat small frequent meals."
urinary tract infection,"Drink plenty of water and avoid irritants like caffeine."
menstrual cramps,"Use a heating pad and practice gentle yoga stretches."
acne,"Keep the skin clean, avoid heavy makeup, and use non-comedogenic products."
hay fever,"Use antihistamines and keep windows closed during high pollen days."
knee pain,"Apply heat or cold and maintain a healthy weight."
obesity,"Adopt a balanced diet, exercise regularly, and seek professional advice."
hair fall,"Maintain a healthy diet and avoid harsh hair treatments."
weakness,"Stay hydrated, eat iron-rich foods, and rest as needed."
vertigo,"Lie down in a dark room and avoid sudden head movements."
throat infection,"Stay hydrated and consider lozenges or warm teas."
gas,"Drink warm water and avoid carbonated beverages."
kidney stones,"Stay hydrated and avoid high-oxalate foods."
fractures,"Seek immediate medical attention and immobilize the affected area."
arthritis,"Stay active with low-impact exercises and maintain a healthy weight."
fatty liver,"Adopt a healthy diet, exercise regularly, and limit alcohol consumption."
dehydration,"Drink plenty of fluids and avoid heat exposure."
oral ulcers,"Avoid spicy foods and use medicated gels."
gum disease,"Practice good oral hygiene and visit a dentist regularly."
eyelid twitching,"Reduce caffeine intake and get adequate rest."
panic attack,"Practice deep breathing and grounding techniques."
psoriasis,"Keep the skin moisturized and avoid triggers."
dry skin,"Apply moisturizer regularly and avoid hot showers."
cold sores,"Apply antiviral creams and avoid sharing utensils."
tonsillitis,"Stay hydrated and use throat lozenges."
migraine,"Rest in a dark room and apply a cold compress."
sciatica,"Apply heat or cold packs and practice gentle stretching."
hypoglycemia,"Consume a quick source of sugar and follow up with a balanced snack."
vitamin D deficiency,"Get sunlight exposure and consume fortified foods."
irritable bowel syndrome,"Manage stress, eat low-FODMAP foods, and stay hydrated."
hypothyroidism,"Maintain regular medication and a balanced diet."
hyperthyroidism,"Seek medical advice and avoid excessive iodine intake."
bronchial asthma,"Use prescribed inhalers and avoid allergens."
piles,"Consume high-fiber foods and stay hydrated."
food poisoning,"Stay hydrated and eat bland foods when symptoms subside."
